 by Role ,按角色
Role Permission Manager,角色权限管理
Restore Original Permissions,恢复初始权限
Doctypes,文档类型
Show User Permission,显示用户权限
read,读
write,写
No {0} found, 未找到{0}的记录
Download Template,下载模板
Download a template for importing a table.,下载导入数据表的模板
Download with data,下载并包含数据
Export all rows in CSV fields for re-upload. This is ideal for bulk-editing.,导出所有行到CSV文件里来重新上传，如果需要批量更改数据可以在此时进行
Import Data,导入数据
Attach .csv file to import data,上传CSV文件导入数据
Help: Importing non-English data in Microsoft Excel,帮助:导入数据到Excel
While uploading non English files ensure that the encoding is UTF-8.,请确保文件编码是UTF-8
"In Excel, save the file in CSV (Comma Delimited) format",在excel中保存文件为CSV格式(逗号分隔)
Open this saved file in Notepad,在Notepad里面打开保存的文件
Click on File -&gt; Save As,点击文件另存为
Click on Save,点击保存
Performing hardcore import process,导入进行中
All Tables (Main + Child Tables),所有的主表与字表
Ignore Encoding Errors,忽略编码错误
"If you are inserting new records (overwrite not checked) and if you have submit permission, the record will be submitted.","如果插入新数据(覆盖没有勾选)\在有权限的情况下数据将被提交进数据库"
Overwrite,覆盖
"If you are uploading a child table (for example Item Price), the all the entries of that table will be deleted (for that parent record) and new entries will be made.",如果上传子表的数据，则其主键父表对应的子记录将被删除并重新被创建
Import Successful!,导入成功
Import Failed!,导入失败
"File Name: &lt;your filename&gt;.csv<br />Save as type: Text Documents (*.txt)<br />Encoding: UTF-8",文件编码是UTF-8并存为.txt文件
Make a new {0},创建一条{0}的记录
Editing Row,编辑行
Shortcuts,快捷方式
just now,刚刚
Users,用户
Messages from everyone,用户发来的消息
List of patches executed,执行过的补丁列表
Bulk Email records.,群发邮件日志
Log of Scheduler Errors,定时日志错误
Accounts,财会
Buying,采购
Core,核心
Manufacturing,生产
Projects,项目
Selling,销售
Setup,设置
Stock,库存
Support,客户支持
Website,网站
You can also drag and drop attachments,也能够直接拖拽上传
Add comment,添加评论
Add Tag,添加标签
Scheduler Failed Events,定时器失败事件
Search Link,搜索
Open Link,打开
Make New,新建
[No Subject],[无主题]
[no content],[无内容]
[unknown sender],[未知发件人]
 yet.,.
Qty,数量
Document Status,文档状态
Created On,创建时间
Document Types,文档类型
Select Document Types,选择文档类型
Show User Permissions,显示用户权限
Apply User Permissions of these Document Types,对以下文档应用用户权限
Select ,选择
Dialog box to select a Link Value,从弹出框选择链接到的值
Print Heading,打印抬头
Letter Head,抬头
Last Updated On,上次更新时间
Created By,创建人
GL Entry,总账条目
This form does not have any input,表单未有任何输入
Landed Cost Voucher,到岸成本凭证
Check how the newsletter looks in an email by sending it to your email.,发送至你的邮箱来检查用户收到简讯的样子
Select who you want to send this newsletter to,选择你想发送此简讯的人
Defines workflow states and rules for a document.,定义文档的工作流状态和规则
Keep a track of all communications,记录所有沟通
Represents a User in the system.,系统中的用户
Workflow state represents the current state of a document.,文档工作流程状态设置
Adds a custom field to a DocType,为文档类型添加自定义字段
Adds a custom script (client or server) to a DocType,文文档类型添加自定义脚本
DocType is a Table / Form in the application.,文档类型类似于应用程序的数据表或者是表单
Email Settings for Outgoing and Incoming Emails.,接发邮件服务器设置
Property Setter overrides a standard DocType or Field property,属性设置器用来重载标准文档类型或者字段属性
Workflow Action Master,工作流行为主数据
Select {0},选择{0}
No Communication tagged with this {0} yet.,未发现有此标签的沟通记录
Rename {0},重命名{0}
Not Set,未设置
Ordered,已下单
Created,已创建
Assigned,已分配
Assignment Completed,分配完成
Attachment,附件
Attachment Removed,附件移除
1 minute ago,1分钟之前
{0} minutes ago,{0}分钟前
1 hour ago,1小时前
{0} hours ago,{0}小时前
Yesterday,昨天
{0} days ago,{0}天前
{0} weeks ago,{0}周前
{0} months ago,{0}月前
{0} year(s) ago,{0}年前
Jan,1月
Feb,2月
Mar,3月
Apr,4月
May,5月
Jun,6月
Jul,7月
Aug,8月
Sep,9月
Oct,10月
Nov,11月
Dec,12月
To Do,待办事项
Sr No,序号
Posting Date,发布日期
"Additional filters based on User Permissions, having:",过滤条件基于用户的权限:
Note: fields having empty value for above criteria are not filtered out.,以上条件值为空的记录未被过滤掉
"A user with ""Expense Approver"" role", 用户的角色是费用审批
"If checked, all other workflows become inactive.",如果勾选则所有其它的流程为非激活状态
Approved,已审批
Rejected,已拒绝
Comment Type,评论类型
You can start by selecting backup frequency and granting access for sync,你可以设置同步权限以及同步频率
Export to Fixtures,导出
"Brand is what appears on the top-left of the toolbar. If it is an image, make sure it\nhas a transparent background and use the &lt;img /&gt; tag. Keep size as 200px x 30px",品牌形象会出现在顶部左边。如果是图像请确保是透明背景的图片。大小为200 * 300
"Link for About Us Page is ""/about""","关于我们的链接为""/about"""
"Link for Contact Page Page is ""/contact""","联系我们的链接为""/contact"""
"For Links, enter the DocType as range\nFor Select, enter list of Options separated by comma",如果是链接则请输入文档类型为范围；如果是选择则输入以逗号分隔的选项
"Print Width of the field, if the field is a column in a table",如果是字段是表中的列的话可以设置列的打印宽度
"This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>\nmyfield\neval:doc.myfield=='My Value'<br>\neval:doc.age>18","此字段将显示仅当定义的字段名有值或规则是真的时候;例如: <br>\nmyfield\neval:doc.myfield=='My Value'
Row {0}: Not allowed to enable Allow on Submit for standard fields,第{0}行: 不允许在标准字段设置"允许提交"
to filter values between 5 & 10,过滤值在5到10之间的值
Please do not change the template headings.,请不要改变模板的顶部信息
First data column must be blank.,第一个数据列要留空
"If you are uploading new records, leave the ""name"" (ID) column blank.",如果要上传新的记录请将”name“(ID)列留空
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",如果是上传新的记录如果有命名序列的话则必填
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,仅仅是标记为必填的字段是必须填写的;选填的字段如果不需要请删除
"For updating, you can update only selective columns.",如果是更新的话则主要保留想要更新的字段即可
You can only upload upto 5000 records in one go. (may be less in some cases),最多一次只能上传3000条记录
"""Parent"" signifies the parent table in which this row must be added",父标识着数据需要添加到父表去
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.",如果是更新则请选择重写不然的话现有的行不会被删除
Leave blank for new records,新纪录的话请留空
Start entering data below this line,从下行开始输入
Column Labels:,列标签
Column Name:,列名
Mandatory:,必填
Main Table,主表
Child Tables,子表
Please set User ID field in an Employee record to set Employee Role,设置员工角色请在员工记录里面设置到此用户账号会自动关联
Select Document Types to set which User Permissions are used to limit access.,选择要通过用户权限限制访问的文档类型
Edit Role Permissions,编辑角色权限
Scheduler Errors,定时计划器错误报告
Default Weekly Digest,默认每周摘要
Scheduler Failed Events,定时器事件失败报告
There were no updates in the items selected for this digest.,此摘要里无更新记录
"To change what you see here,create more digests, go to Setup > Email Digest",要更改请到设置 > 邮件摘要中进行设置
"The task %s, that you assigned to %s, has been closed.","分配给%s的任务%s已经做完了"
Permissions Updated,权限已更新
Add New User Permission,添加新的用户权限
Role Permissions,角色权限
Help: Field Properties,帮组:字段属性
Set the display label for the field,设置字段显示的标签
Type,类型
Options,选项
Specify the value of the field,指定字段的值
Perm Level,权限级别
Assign a permission level to the field.,给字段赋予权限级别
Permissions can be managed via Setup &gt; Role Permissions Manager,权限可以通过设置里面的角色权限管理进行设置
Width of the input box,输入框的宽度
Example,例子
Mark the field as Mandatory,设置为必须选项
Use the field to filter records,通过过滤器过滤记录
Hide field in form,隐藏表单的字段
Print Hide,打印隐藏
Hide field in Standard Print Format,在标准打印格式中隐藏字段
Hide field in Report Builder,报表声称其中隐藏此字段
Allow field to remain editable even after submission,允许字段在提交后仍保持编辑状态
Show a description below the field,在字段下显示其描述信息
Specify a default value,指明一个默认值
Press Esc to close,按ESC键关闭
Assigned to {0},已分配给{0}
Added {0},{0}已添加
Removed {0},{0}已移除
Last Comment,最新评论
Enable Report,启用报表
Disable Report,禁用报表
"A new task, %s, has been assigned to you by %s. %s",新的任务%s已经被分配你%s. %s
"The task %s, that you assigned to %s, has been closed	by %s.",任务%s: 分配给%s的已经被%s关闭了
"The task %s, that you assigned to %s, has been closed.",任务%s: 分配给%s的已经被关闭了
Paragraph,段落
Bold (Ctrl/Cmd+B),加粗 (Ctrl/Cmd+B)
Bullet list,列表
Number list,数字列表
Reduce indent (Shift+Tab),减小缩进 (Shift+Tab)
Indent (Tab),缩进 (Tab)
Align Left (Ctrl/Cmd+L),左对齐(Ctrl/Cmd+L)
Center (Ctrl/Cmd+E),右对齐(Ctrl/Cmd+E)
Insert Link,插入链接
Remove Link,移除链接
Insert picture (or just drag & drop),插入图片(或拖拽)
Horizontal Line Break,水平行分隔符
Password Reset,密码重设
Password Update,密码更新
Verify Your Account,验证账户
disabled user,已禁用的用户
Show or Hide Modules,显示或隐藏模块
Page missing or moved,找不到指定页面
"We are very sorry for this, but the page you are looking for is missing (this could be because of a typo in the address) or moved.",很抱歉，我们未能找到您请求的页面
Please click on the following link to set your new password,请点击以下链接设置你的新密码
Thank you,谢谢您
Password Update Notification,密码更新通知
our password has been updated. Here is your new password,密码已经更新，新密码为:
A new account has been created for you,系统为你创建了一个新的账户
Your login id is,你的登录账号为
Click on the link below to complete your registration and set a new password,点击以下链接来完成注册并设置一个新的密码
Complete Registration,注册完成
You can also copy-paste this link in your browser,你也可以拷贝以下链接到浏览器中直接访问
Reset Password,重设密码
Please save before attaching.,请保存后再上传(支持拖拽上传)
Confirm,确定
Remove Filter,移除过滤条件
New Name,新的名称
Merge with existing,与现有名称合并
"Filter must have 4 values (doctype, fieldname, condition, value):",过滤类型必须有4个值(文档类型，字段名，条件，值)
Filter must be a tuple or list (in a list),过滤类型必须是一个列表
Download PDF,下载PDF
Letterhead,信头
